id_sequencage,Poids Mille Grains,Biomasse aérienne_VS3,Biomasse racine_VS3,Biomasse totale_VS3,Surface Projetée_VS3,Pourcentage azote aérien_VS3,Pourcentage azote Racine_VS3,Azote totale_VS3,Azote aérien_VS3,Azote racine_VS3,INN_VS3,SLN_VS3,RTR,SNU,NLA,RUE
193,4.53571428571429,0.5082,0.275101309378806,0.783301309378806,38.8674184536838,3.85948817738344,2.71449850616844,0.0270815398510002,0.0196139189174626,0.00746762093353752,0.651972069440191,5.54678454899485,0.351149121918409,0.0976410611705229,1302.2721,4.4170995
194,4.53571428571429,0.5537,0.145288503253796,0.698988503253796,37.7719203735962,3.73154199379232,2.47896158685465,0.0242631942054057,0.0206615480196281,0.00360164618577767,0.635786929855229,5.54678454899485,0.188612358528753,0.181347677215331,1302.2721,4.4170995
195,4.53571428571429,0.3267,0.118809109854123,0.445509109854123,18.3734886993967,3.79390283652826,2.52345422119892,0.0153927740647206,0.0123946805669378,0.00299809349778274,0.613192631687786,5.54678454899485,0.296553083195324,0.119754516779642,1302.2721,4.4170995
196,4.04761904761905,0.3097,0.183034905731809,0.492734905731809,32.303433765557,3.42686077692066,2.25835499781372,0.0147465657674612,0.0106129878261233,0.00413357794133794,0.550917275625188,2.68561371488168,0.386528148208618,0.0748276671052967,2742.3256,2.4306416
197,4.04761904761905,0.3989,0.143928165086447,0.542828165086447,43.1845775698653,3.70918167718239,2.00337689356257,0.017679349312951,0.0147959257102806,0.00288342360267048,0.611589920562902,2.68561371488168,0.27641999264868,0.108279211674946,2742.3256,2.4306416
198,4.04761904761905,0.4721,0.175306018454758,0.647406018454758,77.9263734940749,3.34614797216479,2.50334086670669,0.0201856717783643,0.01579716457659,0.00438850720177434,0.561105275863583,2.68561371488168,0.280548264737841,0.102616798497736,2742.3256,2.4306416
199,5.37619047619048,0.5847,0.178473932295386,0.763173932295386,76.62,3.36897419090825,2.44479050405579,0.0240617058432131,0.0196983920942405,0.00436331374897257,0.577147479349735,3.03534542116135,0.236265233083729,0.130568859616046,2742.1831,2.2895729
200,5.37619047619048,0.546,0.217094686756542,0.763094686756542,50.38,3.12142698863077,2.32713067340698,0.0220950684037723,0.017042991357924,0.0050520770458483,0.531090160424698,3.03534542116135,0.281217031408614,0.100451123670351,2742.1831,2.2895729
201,5.37619047619048,0.4551,0.168616432019308,0.623716432019308,47.28,3.56313682094711,2.29723939826364,0.0200893587804243,0.0162158356721303,0.00387352310829397,0.595304263081181,3.03534542116135,0.246514992216181,0.12527353245622,2742.1831,2.2895729
202,6.21428571428571,0.7235,0.288163995221265,1.01166399522127,82.02,3.5099073691055,2.42777980328679,0.0323901670918045,0.0253941798154783,0.00699598727632619,0.614236073423316,2.82528252825282,NA,NA,2091.0224,2.8499136
203,6.21428571428571,0.3959,0.200442629392613,0.596342629392613,58.05,3.54500881570612,2.19694568897564,0.0184383056066909,0.0140346899013805,0.00440361570531042,0.584079117999391,2.82528252825282,NA,NA,2091.0224,2.8499136
204,6.21428571428571,0.5231,0.243429663829173,0.766529663829173,59.91,3.2760241436384,2.9797284221638,0.0243904251764681,0.0171368822953725,0.00725354288109567,0.555010725253395,2.82528252825282,NA,NA,2091.0224,2.8499136
205,3.56428571428571,0.3587,0.0964514798802794,0.455151479880279,46.02,3.78801809505404,2.51117307587521,0.0160096845009956,0.0135876209069588,0.00242206359403677,0.617989352406729,2.77980313525338,0.201043045374596,0.172994492436447,2138.1642,1.6536276
206,3.56428571428571,0.3646,0.133107368868125,0.497707368868125,54.28,3.70298441031935,2.89635552998925,0.0173563437990595,0.0135010811600243,0.00385526263903512,0.605103075120815,2.77980313525338,0.265491761196011,0.129399342390939,2138.1642,1.6536276
207,3.56428571428571,0.0805,0.0176425903261887,0.0981425903261887,9.42,4.23687788392274,NA,NA,0.00341068669655781,NA,0.59528007304963,2.77980313525338,0.191829975555842,NA,2138.1642,1.6536276
208,3.9547619047619,0.4604,0.200287264514707,0.660687264514707,40.3326704817428,3.33599390276848,2.61068195746007,0.0205877794061219,0.0153589159283461,0.00522886347777579,0.558000501964356,4.25653315074745,0.293913116521588,0.100964968112288,1693.1426,3.5732976
209,3.9547619047619,0.2309,0.152872377285852,0.383772377285852,21.2113262866128,3.53403627318776,2.16282331175034,0.0114664491679559,0.00816008975479054,0.00330635941316533,0.551707904123879,4.25653315074745,0.314368794535989,0.061872111107633,1693.1426,3.5732976
